original		memento	
			
Gates of Wisdom			
			
http://www.missouri.edu/~uc489745/music.html		missing	
http://www.yahoo.com/Entertainment/Music/		missing	
http://www.music.indiana.edu/misc/music_resources.html		https://web.archive.org/web/19981205170619/http://www.music.indiana.edu/misc/music_resources.html	
http://syy.oulu.fi/music.html		https://web.archive.org/web/19961120201315/http://syy.oulu.fi/music/	
http://www.pathfinder.com/@@2k6FXQAAAAAAgAHU/vibe/mmm/music.html		missing	
http://orpheus.ucsd.edu/webmaster/harmony.html		missing	
http://www.leeds.ac.uk/music.html		http://web.archive.org/web/19961019180127/http://www.leeds.ac.uk/music.html	
http://harmony-central.mit.edu/		http://web.archive.org/web/19961105182741/http://harmony-central.com/	became commercial but shows MIT origins
http://datura.cerl.uiuc.edu/netstuff/sigsoundLinks.html		https://web.archive.org/web/19971210111447/http://datura.cerl.uiuc.edu/netstuff/sigsoundLinks.html	
http://datura.cerl.uiuc.edu/schools/courses.html		https://web.archive.org/web/19971210110432/http://datura.cerl.uiuc.edu/schools/courses.html	
http://american.recordings.com/wwwofmusic/index.html		https://web.archive.org/web/19961227203847/http://ubl.com/	became commercial; not sure whether original intent is reflected
			
Technical Stuff			
			
http://www2.netscape.com/assist/helper_apps/index.html		https://web.archive.org/web/19961020022617/http://www2.netscape.com/assist/helper_apps/index.html	
http://www.iuma.com/IUMA-2.0/help/		https://web.archive.org/web/19961022204013/https://www.iuma.com/IUMA-2.0/help/	
http://ac.dal.ca/~dong/contents.htm		missing	
http://viswiz.gmd.de/MultimediaInfo/		https://web.archive.org/web/19970311015242/http://viswiz.gmd.de/MultimediaInfo/	
http://www.realaudio.com/textonlyindex.html		https://web.archive.org/web/19961229150215/http://www.realaudio.com/textonlyindex.html	
http://sound.media.mit.edu/~mkc/netsound.html		https://web.archive.org/web/19961130112211/http://sound.media.mit.edu/~mkc/netsound.html	
		https://web.archive.org/web/19961222202151/http://vrml.wired.com/	
Electronic Music Magazines		missing	
		missing	
http://www-mitpress.mit.edu/Leonardo/home.html		https://web.archive.org/web/19990117075109/http://mitpress.mit.edu/e-journals/Leonardo/home.html	
http://www-mitpress.mit.edu/Computer-Music-Journal/CMJ.html		https://web.archive.org/web/19990117022439/http://mitpress.mit.edu/e-journals/Computer-Music-Journal/CMJ.html	
http://www.ircam.fr/cdmc/index-e.html		missing	
http://www.msstate.edu/Fineart_Online/index.html		https://web.archive.org/web/19970709074807/http://www.msstate.edu/Fineart_Online/index.html	
http://www.tmn.com/Oh/Artswire/www/awfront.html		missing	
http://www.uiah.fi/iseaw/www/navigator.html		https://web.archive.org/web/19971012164822/http://www.uiah.fi/iseaw/www/navigator.html	
http://isl-garnet.uah.edu/claassen/		missing	
			
Databases and Libraries			
			
http://www.ingress.com/amc/		missing	
http://www.hk.net/~prs/midi.html		missing	
http://lecaine.music.mcgill.ca/MLF_Project/Html/MLF_Proposal.html		https://web.archive.org/web/19961111170144/http://lecaine.music.mcgill.ca/MLF_Project/Html/MLF_Proposal.html	
ftp://ella.mills.edu/ccm/tuning/papers/discs.html		missing	
http://next.rug.ac.be/Keuze.html		https://web.archive.org/web/19970302043213/http://next.rug.ac.be/Keuze.html	
http://www.ub2.lu.se/auto_new/UDC.html		https://web.archive.org/web/19980124080500/http://www.ub2.lu.se/auto_new/UDC.html	
http://cs.wpi.edu/~ptbast/adl.html		missing	
http://www.nada.kth.se/~f91-jsc/		https://web.archive.org/web/19990128121627/http://www.student.nada.kth.se/~f91-jsc/	
		missing	
Faq you!			
			
http://www.leeds.ac.uk/music/NetInfo/MNews.html		https://web.archive.org/web/19961020092324/http://www.leeds.ac.uk/music/NetInfo/MNews.html	
http://www.cis.ohio-state.edu/hypertext/faq/usenet/music/top.html		https://web.archive.org/web/19961228220546/http://www.cis.ohio-state.edu/hypertext/faq/usenet/music/top.html	
http://sunsite.unc.edu/mcmahon/emusic-l/index.html		https://web.archive.org/web/19990218121007/http://metalab.unc.edu/mcmahon/emusic-l/index.html	
http://www.cis.ohio-state.edu/hypertext/faq/usenet/dsp-faq/top.html		https://web.archive.org/web/19961228211607/http://www.cis.ohio-state.edu/hypertext/faq/usenet/dsp-faq/top.html	
			
Institutions, Projects and Conferences			
			
http://www.xs4all.nl/~steim/		https://web.archive.org/web/19961219193626/http://www.xs4all.nl/~steim/	
http://next.rug.ac.be/index.html		https://web.archive.org/web/19970302043738/http://next.rug.ac.be/index.html	
http://www.ircam.fr/index-e.html		https://web.archive.org/web/19971210150218/http://www.ircam.fr/index-e.html	
http://sound.media.mit.edu/		https://web.archive.org/web/19961130111950/http://sound.media.mit.edu/	
http://coos.dartmouth.edu/~rsn/icma/icma.html		missing	
http://ccmrc.ucsb.edu/		https://web.archive.org/web/19970103000455/http://ccmrc.ucsb.edu/	
http://www.mcs.csuhayward.edu/~timper/a/index.html		missing	
http://mars.let.uva.nl/NAEM/Welcome.html		https://web.archive.org/web/19970125111844/http://mars.let.uva.nl/NAEM/Welcome.html	
http://www.uiah.fi/iseaw/www/index.html		missing	
http://www.media.mit.edu/		https://web.archive.org/web/19961018071548/http://www.media.mit.edu/	
http://found.cs.nyu.edu/CAThome_new.html		missing	
http://www.arcflash.com/		missing	
http://www.artcom.de/ping/mapper		https://web.archive.org/web/19981205222058/http://www.artcom.de/ping/mapper	
http://mars.let.uva.nl/honing/intro-foot-tapping.html		missing	
		missing	
Electronic Music Gear			
			
http://www.PrimeNet.Com:80/~midifrm/		https://web.archive.org/web/19981201075745/http://www.PrimeNet.Com:80/~midifrm/	
http://www.eeb.ele.tue.nl/midi/index.html		https://web.archive.org/web/19981205131858/http://www.eeb.ele.tue.nl/midi/index.html	
http://www.webcom.com/~hurleyj/music/emusic-sw.html		missing	
http://harmony-central.mit.edu/Software/		https://web.archive.org/web/19990424081907/http://harmony-central.mit.edu/Software/	
http://www.hyperreal.com/music/machines/		https://web.archive.org/web/19961219233040/http://www.hyperreal.com/music/machines/	
http://www.wwu.edu/~n9343176/schems.html		missing	
			
Nerds in Music			
			
http://www.dnai.com/~jinetwk/		https://web.archive.org/web/19981207001828/http://www.dnai.com/~jinetwk/	
http://www.leeds.ac.uk/music/Man/Csound/title.html		https://web.archive.org/web/19961020060835/http://www.leeds.ac.uk/music/Man/Csound/title.html	
http://www.leeds.ac.uk/music/Man/c_front.html		https://web.archive.org/web/19961020085552/http://www.leeds.ac.uk/music/Man/c_front.html	
http://www-ks.rus.uni-stuttgart.de/people/schulz/fmusic/		https://web.archive.org/web/19970221181009/http://www-ks.rus.uni-stuttgart.de/people/schulz/fmusic/	
http://www.ccsr.uiuc.edu/People/gmk/Projects/ChuaSoundMusic/ChuaSoundMusic.html		https://web.archive.org/web/19971210170935/http://www.ccsr.uiuc.edu/People/gmk/Projects/ChuaSoundMusic/ChuaSoundMusic.html	
			
Fill Out & Submit			
			
http://ringo.media.mit.edu/ringo/ringo.html		missing	
http://nmt.edu/~jefu/notes/notes.html		missing	
http://www.cs.colorado.edu/~andreas/Teaching/Music/Experiments.html		https://web.archive.org/web/19970501100540/http://www.cs.colorado.edu/~andreas/Teaching/Music/Experiments.html	
http://porsche.boltz.cs.cmu.edu:8001/htbin/mjwgenform		missing	
http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformI		https://web.archive.org/web/19961121134625/http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformI	
http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformII		https://web.archive.org/web/19961121134634/http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformII	
http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformIII		missing	
http://webhound.www.media.mit.edu/projects/webhound/		https://web.archive.org/web/19961213031905/http://webhound.www.media.mit.edu/projects/webhound/	
http://www-mitpress.mit.edu/Leonardo/kiosk.html		missing	
http://persona.www.media.mit.edu/Postcards/		https://web.archive.org/web/19980215040032/http://persona.www.media.mit.edu/Postcards/	
			
Artists			
			
http://american.recordings.com/wwwofmusic/ubl.html		missing	
http://www.csd.uwo.ca/~tzoq/Residents/		missing	
http://www.nando.net/music/gm/BeastieBoys		missing	
http://kosmic.wit.com/~kosmic/		missing	
http://www.futurenet.co.uk/netmag/Band/Band.html		missing	
http://www.riv.nl/farmers/tex/		missing	
http://www.voyagerco.com/		https://web.archive.org/web/19961121232902/http://www.voyagerco.com/	
			
Socializing & Shopping			
			
http://cdnow.com/		https://web.archive.org/web/19961219003241/http://cdnow.com/	
http://rg.media.mit.edu/RG/RG.html		missing	
http://www.mtv.com/		https://web.archive.org/web/19960512183908/http://www.mtv.com/	
http://legowww.itek.norut.no/		missing	
http://www.mit.edu:8001/people/jcb/viola-jokes.html		https://web.archive.org/web/19970503101645/http://www.mit.edu:8001/people/jcb/viola-jokes.html	
http://www2.khm.uni-koeln.de/~suzi/		missing	
